age,education,marital-status,race,occupation
20-40,Bachelors,Never-married,White,Adm-clerical
40-60,Bachelors,Married,White,Exec-managerial
20-40,HS-grad,Divorced,White,Handlers-cleaners
40-60,11th,Married,Black,Handlers-cleaners
20-40,Bachelors,Married,Black,Prof-specialty
20-40,Masters,Married,White,Exec-managerial
40-60,9th,Married,Black,Other-service
40-60,HS-grad,Married,White,Exec-managerial
20-40,Masters,Never-married,White,Prof-specialty
40-60,Bachelors,Married,White,Exec-managerial
20-40,Some-college,Married,Black,Exec-managerial
20-40,Bachelors,Married,Asian-Pac-Islander,Prof-specialty
20-40,Bachelors,Never-married,White,Adm-clerical
20-40,Assoc-acdm,Never-married,Black,Sales
40-60,Assoc-voc,Married,Asian-Pac-Islander,Craft-repair
20-40,HS-grad,Never-married,White,Farming-fishing
20-40,HS-grad,Never-married,White,Machine-op-inspct
20-40,11th,Married,White,Sales
40-60,Masters,Divorced,White,Exec-managerial
40-60,Doctorate,Married,White,Prof-specialty
40-60,HS-grad,Separated,Black,Other-service
40-60,11th,Married,White,Transport-moving
40-60,HS-grad,Divorced,White,Tech-support
40-60,Bachelors,Married,White,Tech-support
0-20,HS-grad,Never-married,White,Craft-repair
40-60,Some-college,Married,Asian-Pac-Islander,
20-40,HS-grad,Divorced,White,Exec-managerial
40-60,HS-grad,Married,White,Craft-repair
20-40,Assoc-acdm,Never-married,White,Protective-serv
20-40,Some-college,Never-married,Black,Sales
40-60,Bachelors,Divorced,White,Exec-managerial
20-40,Some-college,Married,White,Adm-clerical
20-40,Some-college,Married,Black,Other-service
40-60,11th,Never-married,White,Machine-op-inspct
20-40,Some-college,Never-married,White,Machine-op-inspct
0-20,HS-grad,Married,White,Adm-clerical
20-40,Some-college,Married,White,Sales
40-60,Assoc-acdm,Married,White,Prof-specialty
20-40,9th,Married,White,Machine-op-inspct
40-60,Bachelors,Married,White,Prof-specialty
20-40,Bachelors,Married,White,Tech-support
40-60,HS-grad,Separated,White,Adm-clerical
20-40,HS-grad,Never-married,White,Handlers-cleaners
40-60,Bachelors,Married,Black,Prof-specialty
40-60,HS-grad,Married,White,Machine-op-inspct
40-60,Masters,Divorced,White,Exec-managerial
40-60,Assoc-voc,Married,White,Craft-repair
20-40,Assoc-voc,Never-married,White,Prof-specialty
0-20,HS-grad,Never-married,White,Other-service
40-60,Prof-school,Married,White,Prof-specialty
40-60,Bachelors,Divorced,White,Exec-managerial
40-60,HS-grad,Divorced,White,Exec-managerial
40-60,Some-college,Married,White,Tech-support
40-60,5th-6th,Married,White,Machine-op-inspct
20-40,Assoc-voc,Married,White,Other-service
40-60,HS-grad,Married,White,Adm-clerical
20-40,HS-grad,Married,White,Machine-op-inspct
20-40,Bachelors,Married,White,Sales
20-40,7th-8th,Married,White,
40-60,HS-grad,Married,White,Transport-moving
40-60,Doctorate,Married,White,Prof-specialty
20-40,Some-college,Divorced,White,Tech-support
20-40,HS-grad,Married,White,Craft-repair
20-40,Some-college,Divorced,White,Adm-clerical
40-60,HS-grad,Married,White,Adm-clerical
40-60,Some-college,Married,White,Exec-managerial
20-40,Some-college,Never-married,White,
0-20,Some-college,Never-married,White,Prof-specialty
20-40,Bachelors,Married,White,Sales
20-40,Some-college,Never-married,White,Machine-op-inspct
60-80,Some-college,Married,White,Prof-specialty
20-40,HS-grad,Never-married,White,Other-service
40-60,Assoc-acdm,Married,White,Adm-clerical
60-80,10th,Married,White,
0-20,11th,Never-married,White,Other-service
20-40,7th-8th,Married,White,Farming-fishing
0-20,HS-grad,Never-married,White,Sales
40-60,Bachelors,Married,White,Other-service
40-60,HS-grad,Married,White,Other-service
40-60,HS-grad,Married,White,Sales
40-60,HS-grad,Divorced,White,Craft-repair
40-60,HS-grad,Divorced,White,Sales
40-60,HS-grad,Married,White,Protective-serv
20-40,Masters,Married,White,Prof-specialty
20-40,9th,Never-married,White,Sales
40-60,Doctorate,Never-married,White,Prof-specialty
40-60,Assoc-voc,Married,White,Prof-specialty
20-40,Some-college,Divorced,White,Craft-repair
20-40,Some-college,Divorced,Black,Machine-op-inspct
